HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,SCALED HEALTH,HEALTH PI,Environmental Score,ENV SCALED,ENV PI,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,SCALED MW,MW PI,HBA_mp,TOTAL PI,RANK,MIN MW in set
6452152,C1CCC2=[N+](CC1)CCCN2CC3=CC=CC=C3.[Cl-],TRUE,['H319'],10,98,53.9,0,100,18,CIIDVPBPKJUNNK-UHFFFAOYSA-M,C16H23ClN2,278.82,33.4050642,9.019367334,no mp data,80.91936733,13,
112264,CC[N+]1(CCCC1)C.[Br-],TRUE,['H341'],50,90,49.5,0,100,18,KHJQQUGSPDBDRM-UHFFFAOYSA-M,C7H16BrN,194.11,47.98310236,12.95543764,no mp data,80.45543764,14,
74750,CCCCCCCCC[N+](C)(C)C.[Br-],TRUE,"['H315', 'H319']",20,96,52.8,0,100,18,SSEGNMJSEROZIF-UHFFFAOYSA-M,C12H28BrN,266.26,34.98084579,9.444828363,no mp data,80.24482836,15,
11062816,C[N+](C)(C)CC1=CC=CC=C1.[F-],TRUE,"['H315', 'H319', 'H335']",70,86,47.3,0,100,18,KFSZGBHNIHLIAA-UHFFFAOYSA-M,C10H16FN,169.24,55.03427086,14.85925313,no mp data,80.15925313,16,
165294,CC[N+](CC)(CC)CC1=CC=CC=C1.[Br-],TRUE,"['H315', 'H319']",20,96,52.8,0,100,18,CHQVQXZFZHACQQ-UHFFFAOYSA-M,C13H22BrN,272.22,34.21497318,9.23804276,no mp data,80.03804276,17,
3015147,C[N+](C)(CC1=CC=CC=C1)C2CCCCC2.[Cl-],TRUE,['H412'],0,100,55,50,81.81818182,14.72727273,ZYUCLFWLUQAJEJ-UHFFFAOYSA-M,C15H24ClN,253.81,36.69674166,9.908120247,no mp data,79.63539297,18,
101569,C[N+](C)(CC1=CC=CC=C1)CC2=CC=CC=C2.[Cl-],TRUE,['H412'],0,100,55,50,81.81818182,14.72727273,LCXAARCEIWRIMU-UHFFFAOYSA-M,C16H20ClN,261.79,35.57813515,9.60609649,no mp data,79.33336922,19,
23500186,CCC[N+](CC)(CCC)CCC.[I-],TRUE,"['H315', 'H319']",20,96,52.8,0,100,18,ZLHWTGZMAWUUMD-UHFFFAOYSA-M,C11H26IN,299.24,31.12551798,8.403889854,no mp data,79.20388985,20,
10891295,CCCC[N+](CCCC)(CCCC)CCCC.F.[F-],TRUE,['H314'],25,95,52.25,0,100,18,ZHBDKVWQJKYIFF-UHFFFAOYSA-M,C16H37F2N,281.47,33.09056027,8.934451274,no mp data,79.18445127,21,
6060,CC(=O)OCC[N+](C)(C)C.[Cl-],TRUE,"['H315', 'H319', 'H335']",70,86,47.3,0,100,18,JUGOREOARAHOCO-UHFFFAOYSA-M,C7H16ClNO2,181.66,51.2716063,13.8433337,no mp data,79.1433337,22,
